combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
232,0.6769189622893822,0.6721740164031855,0.3,0.1,5,100,10
233,0.7321624914564203,0.7231665279923927,0.3,0.1,5,100,50
234,0.7615821223737779,0.7503863069059789,0.3,0.1,5,100,100
235,0.728834209978901,0.6987994769998811,0.3,0.1,8,1,10
236,0.8157261299812785,0.7513372162130036,0.3,0.1,8,1,50
237,0.8622329202698286,0.7660763104718887,0.3,0.1,8,1,100
238,0.7080621675433122,0.6955901580886723,0.3,0.1,8,10,10
239,0.7762622210335502,0.7487222156186853,0.3,0.1,8,10,50
240,0.8026804552613592,0.7653631284916201,0.3,0.1,8,10,100
241,0.6778698998543877,0.6720551527398074,0.3,0.1,8,100,10
242,0.7347181361623726,0.7235231189825271,0.3,0.1,8,100,50
243,0.7639000326884788,0.751693807203138,0.3,0.1,8,100,100
244,0.753201985082167,0.7060501604659456,0.3,0.1,10,1,10
245,0.8606876467266946,0.7491976702721977,0.3,0.1,10,1,50
246,0.9178330510237437,0.7665517651254011,0.3,0.1,10,1,100
247,0.7113607322219251,0.6976108403661001,0.3,0.1,10,10,10
248,0.7814329440432677,0.749435397598954,0.3,0.1,10,10,50
249,0.8098124869989005,0.765244264828242,0.3,0.1,10,10,100
250,0.6780184838489198,0.6722928800665636,0.3,0.1,10,100,10
251,0.7352233217437818,0.7248306192796862,0.3,0.1,10,100,50
252,0.7643160678731687,0.7508617615594912,0.3,0.1,10,100,100
253,0.7582538408962587,0.7447997147272079,0.3,1.0,3,1,10
254,0.8017592344952602,0.7721383573041721,0.3,1.0,3,1,50
255,0.821966657751627,0.7757042672055152,0.3,1.0,3,1,100
256,0.7568868681465633,0.7436110780934269,0.3,1.0,3,10,10
257,0.7937654155894327,0.7741590395815999,0.3,1.0,3,10,50
258,0.8057115687498143,0.7768929038392963,0.3,1.0,3,10,100
259,0.7440194942200826,0.7349340306668252,0.3,1.0,3,100,10
260,0.770675462839143,0.7661951741352668,0.3,1.0,3,100,50
261,0.7730230899527503,0.7665517651254011,0.3,1.0,3,100,100
262,0.7801551216902916,0.7541899441340782,0.3,1.0,5,1,10
263,0.8564678612819827,0.765244264828242,0.3,1.0,5,1,50
264,0.9077887729933731,0.7638179008677047,0.3,1.0,5,1,100
265,0.7694273572850733,0.753833353143944,0.3,1.0,5,10,10
266,0.8169445187364417,0.7701176750267443,0.3,1.0,5,10,50
267,0.8450268937030103,0.7688101747295851,0.3,1.0,5,10,100
268,0.7499925708002734,0.7401640318554618,0.3,1.0,5,100,10
269,0.7754301506641704,0.7666706287887792,0.3,1.0,5,100,50
270,0.7768565570116787,0.7679781290859384,0.3,1.0,5,100,100
271,0.8396184363020416,0.7436110780934269,0.3,1.0,8,1,10
272,0.969421413925292,0.756091762748128,0.3,1.0,8,1,50
273,0.9971174705060771,0.7566860810650184,0.3,1.0,8,1,100
274,0.7875546046179905,0.7544276714608344,0.3,1.0,8,10,10
275,0.86205461947639,0.7682158564126946,0.3,1.0,8,10,50
276,0.8987548661258209,0.7653631284916201,0.3,1.0,8,10,100
277,0.7514784107455945,0.741471532152621,0.3,1.0,8,100,10
278,0.7780452289679356,0.7672649471056698,0.3,1.0,8,100,50
279,0.7787584321416897,0.7673838107690479,0.3,1.0,8,100,100
280,0.8932572583281329,0.7394508498751932,0.3,1.0,10,1,10
281,0.9953641793705982,0.7552597171044811,0.3,1.0,10,1,50
282,0.9999702832010936,0.7550219897777249,0.3,1.0,10,1,100
283,0.7944489019642804,0.7532390348270533,0.3,1.0,10,10,10
284,0.880092716412588,0.7657197194817544,0.3,1.0,10,10,50
285,0.9155151407090428,0.7663140377986449,0.3,1.0,10,10,100
286,0.7522510475171614,0.7411149411624867,0.3,1.0,10,100,10
287,0.7775697601854328,0.7671460834422917,0.3,1.0,10,100,50
288,0.7783126801580934,0.7669083561155354,0.3,1.0,10,100,100
289,0.6893405842322665,0.6897658385831451,0.5,0.001,3,1,10
290,0.6929066001010371,0.689646974919767,0.5,0.001,3,1,50
291,0.6968886511544976,0.6922619755140853,0.5,0.001,3,1,100
292,0.6894297346289857,0.6883394746226079,0.5,0.001,3,10,10
293,0.690707556981962,0.6863187923451801,0.5,0.001,3,10,50
294,0.6969778015512169,0.6928562938309759,0.5,0.001,3,10,100
295,0.6756114231374997,0.6724117437299417,0.5,0.001,3,100,10
296,0.6799203589789308,0.6756210626411506,0.5,0.001,3,100,50
297,0.684585896407239,0.6807322001664091,0.5,0.001,3,100,100
298,0.714035244123503,0.7068822061095923,0.5,0.001,5,1,10
299,0.7285073251909304,0.7191251634375372,0.5,0.001,5,1,50
300,0.733202579418145,0.7237608463092833,0.5,0.001,5,1,100
301,0.7101720602656681,0.704267205515274,0.5,0.001,5,10,10
302,0.7239309381593415,0.7142517532390348,0.5,0.001,5,10,50
303,0.729458262755936,0.7192440271009153,0.5,0.001,5,10,100
304,0.6877655938902262,0.6848924283846428,0.5,0.001,5,100,10
305,0.6961160143829307,0.6917865208605729,0.5,0.001,5,100,50
306,0.7004546670232683,0.6958278854154285,0.5,0.001,5,100,100
307,0.7497548364090221,0.7237608463092833,0.5,0.001,8,1,10
308,0.7699325428664824,0.7407583501723524,0.5,0.001,8,1,50
309,0.7740037443166622,0.7443242600736955,0.5,0.001,8,1,100
310,0.732281358652046,0.7167478901699751,0.5,0.001,8,10,10
311,0.7513595435499688,0.7307738024485915,0.5,0.001,8,10,50
312,0.7553415946034293,0.7365981219541187,0.5,0.001,8,10,100
313,0.6924311313185344,0.6878640199690954,0.5,0.001,8,100,10
314,0.7027428605390628,0.6967787947224533,0.5,0.001,8,100,50
315,0.7061900092122076,0.7003447046237965,0.5,0.001,8,100,100
316,0.7781046625657484,0.7253060739331986,0.5,0.001,10,1,10
317,0.7981337850286767,0.7433733507666707,0.5,0.001,10,1,50
318,0.8023238536744822,0.7477713063116606,0.5,0.001,10,1,100
319,0.7383138688300497,0.7181742541305123,0.5,0.001,10,10,10
320,0.7590859112656385,0.7330322120527755,0.5,0.001,10,10,50
321,0.7615821223737779,0.7382622132414121,0.5,0.001,10,10,100
322,0.6926985825086922,0.6876262926423392,0.5,0.001,10,100,10
323,0.7034263469139105,0.6965410673956971,0.5,0.001,10,100,50
324,0.7069329291848682,0.7004635682871746,0.5,0.001,10,100,100
325,0.6887165314552316,0.6877451563057173,0.5,0.01,3,1,10
326,0.702475409348905,0.6976108403661001,0.5,0.01,3,1,50
327,0.7152833496775727,0.711042434327826,0.5,0.01,3,1,100
328,0.6892514338355472,0.6877451563057173,0.5,0.01,3,10,10
329,0.7002169326320169,0.6960656127421847,0.5,0.01,3,10,50
330,0.7133220409497489,0.7090217520503982,0.5,0.01,3,10,100
331,0.6765029271046923,0.6730060620468323,0.5,0.01,3,100,10
332,0.6900537874060206,0.6853678830381552,0.5,0.01,3,100,50
333,0.7003952334254554,0.695233567098538,0.5,0.01,3,100,100
334,0.71480788089507,0.7071199334363485,0.5,0.01,5,1,10
335,0.7383138688300497,0.7273267562106264,0.5,0.01,5,1,50
336,0.7497845532079285,0.7380244859146559,0.5,0.01,5,1,100
337,0.7113904490208315,0.7040294781885178,0.5,0.01,5,10,10
338,0.734391251374402,0.7235231189825271,0.5,0.01,5,10,50
339,0.7450001485839945,0.7368358492808749,0.5,0.01,5,10,100
340,0.6892514338355472,0.6865565196719363,0.5,0.01,5,100,10
341,0.7061900092122076,0.7023653869012243,0.5,0.01,5,100,50
342,0.7173040920032094,0.7105669796743136,0.5,0.01,5,100,100
343,0.7509732251641853,0.7229288006656365,0.5,0.01,8,1,10
344,0.7793527681198181,0.7455128967074766,0.5,0.01,8,1,50
345,0.7900210989272236,0.7552597171044811,0.5,0.01,8,1,100
346,0.73382663219518,0.7182931177938904,0.5,0.01,8,10,10
347,0.7579863897061009,0.7409960774991086,0.5,0.01,8,10,50
348,0.7690707556981962,0.750624034232735,0.5,0.01,8,10,100
349,0.6925499985141601,0.6889337929394984,0.5,0.01,8,100,10
350,0.712341386585837,0.708784024723642,0.5,0.01,8,100,50
351,0.7244361237407506,0.7147272078925473,0.5,0.01,8,100,100
352,0.7801551216902916,0.7261381195768454,0.5,0.01,10,1,10
353,0.8100799381890583,0.7477713063116606,0.5,0.01,10,1,50
354,0.8247303200499242,0.756091762748128,0.5,0.01,10,1,100
355,0.7407803631392826,0.7204326637346963,0.5,0.01,10,10,10
356,0.7644943686666072,0.741471532152621,0.5,0.01,10,10,50
357,0.7754301506641704,0.7501485795792227,0.5,0.01,10,10,100
358,0.6930254672966628,0.6883394746226079,0.5,0.01,10,100,10
359,0.7139163769278773,0.7089028883870201,0.5,0.01,10,100,50
360,0.7253870613057561,0.7149649352193035,0.5,0.01,10,100,100
361,0.7026537101423435,0.7014144775941995,0.5,0.1,3,1,10
362,0.7559953641793706,0.750624034232735,0.5,0.1,3,1,50
363,0.7777183441799649,0.7707119933436348,0.5,0.1,3,1,100
364,0.7015541885828058,0.7007012956139308,0.5,0.1,3,10,10
365,0.7543015066417046,0.7499108522524665,0.5,0.1,3,10,50
366,0.7746575138926035,0.76976108403661,0.5,0.1,3,10,100
367,0.6917773617425931,0.6904790205634138,0.5,0.1,3,100,10
368,0.7430685566550771,0.7387376678949246,0.5,0.1,3,100,50
369,0.762503343139877,0.7603708546297396,0.5,0.1,3,100,100
370,0.7303200499242222,0.7205515273980744,0.5,0.1,5,1,10
371,0.7844046239339099,0.7699988113633662,0.5,0.1,5,1,50
372,0.802383287272295,0.7771306311660525,0.5,0.1,5,1,100
373,0.7262488484740424,0.7197194817544277,0.5,0.1,5,10,10
374,0.7803037056848237,0.7671460834422917,0.5,0.1,5,10,50
